"trial","subj","bin","type","paras","para_1","para_2","para_3","full","text"
10,53,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How long is the red ship?"
11,53,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","How long is the blue ship?"
12,53,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Is the blue ship horizontal or vertical?"
13,53,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Is the blue ship vertical or horizontal?"
14,53,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How long is the red ship?"
15,53,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How long is the red ship?"
16,53,"horizontal(red)","horizontal","2",2,NA,NA,"Is the red ship horizontal?","Is the red ship vertical or horizontal?"
17,53,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","How long is the blue ship?"
18,53,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Is the purple ship vertical or horizontal?"
3,54,"shipsizeD(purple,4)","shipsizeD","3,4",3,4,NA,"Is the purple ship 4 tiles long?","Is the purple ship 4 squares?"
4,54,"topleft(purple)","topleft","3",3,NA,NA,"At what location is the top left part of the purple ship?","Where does the purple ship start?"
5,54,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many boxes does the red ship have?"
6,54,"topleft(red)","topleft","2",2,NA,NA,"At what location is the top left part of the red ship?","Where is the start of the red ship?"
7,54,"bottomright(blue)","bottomright","1",1,NA,NA,"At what location is the bottom right part of the blue ship?","Where is the end of the blue ship"
8,54,"bottomright(red)","bottomright","2",2,NA,NA,"At what location is the bottom right part of the red ship?","Where does the red ship end?"
9,54,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Does the blue ship go vertically"
10,54,"colD(a,blue)","colD","1,1",1,1,NA,"Is there any part of the blue ship in column A?","Is the blue ship in the A column"
11,54,"locationA(4,c)","locationA","4,3",4,3,NA,"Is there a ship at 4C?","Does C4 have a ship?"
12,54,"topleft(blue)","topleft","1",1,NA,NA,"At what location is the top left part of the blue ship?","Where does the blue ship start?"
13,54,"topleft(purple)","topleft","3",3,NA,NA,"At what location is the top left part of the purple ship?","Where does the purple ship start?"
14,54,"colD(a,red)","colD","1,2",1,2,NA,"Is there any part of the red ship in column A?","Is the red ship in the A column?"
15,54,"topleft(red)","topleft","2",2,NA,NA,"At what location is the top left part of the red ship?","Where does the red ship start?"
16,54,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","How many squares is the blue ship?"
17,54,"shipsizeD(blue,4)","shipsizeD","1,4",1,4,NA,"Is the blue ship 4 tiles long?","Is the blue ship 4 blocks long?"
18,54,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Does the purple ship go vertical or horizontal?"
1,55,"col(b)","col","2",2,NA,NA,"Is there any ship in column B?","Is there a marked tile in column B?"
2,55,"shipsizeD(purple,4)","shipsizeD","3,4",3,4,NA,"Is the purple ship 4 tiles long?","Is the purple ship four tiles long?"
3,55,"rowD(1,red)","rowD","1,2",1,2,NA,"Is there any part of the red ship in row 1?","Is there a red tile in Row 1?"
4,55,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Is the blue ship oriented vertically?"
5,55,"colD(b,red)","colD","2,2",2,2,NA,"Is there any part of the red ship in column B?","Is there a red tile in Column B?"
6,55,"shipsizeD(purple,2)","shipsizeD","3,2",3,2,NA,"Is the purple ship 2 tiles long?","Is the purple ship two tiles in length?"
7,55,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Is the blue ship oriented horizontally?"
8,55,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","What is the length of the blue ship?"
9,55,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Is the blue ship oriented horizontally?"
10,55,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","What is the length of the blue ship?"
11,55,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","What is the length of the blue ship?"
12,55,"rowD(1,red)","rowD","1,2",1,2,NA,"Is there any part of the red ship in row 1?","Is there a red tile in Row 1?"
14,55,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","What is the length of the blue ship?"
15,55,"shipsizeM(red,3)","shipsizeM","2,3",2,3,NA,"Is the red ship 3 or more tiles long?","Is the red ship longer than two tiles?"
16,55,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","What is the length of the blue ship?"
17,55,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How long is the purple ship?"
18,55,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","What is the orientation of the purple ship?"
2,56,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Is the purple ship vertical or horizontal?"
4,56,"colDL(b,blue)","colDL","2,1",2,1,NA,"Are all parts of the blue ship in column B?","Is the Blue Ship in row B only?"
5,56,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many shapes is the purple ship?"
7,56,"horizontalM()","horizontalM","",NA,NA,NA,"Are there more horizontal ships than vertical ships?","Are more ships horizontal or vertical?"
8,56,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many shapes is the orange ship?"
9,56,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Is the blue ship veritcal or horizontal?"
13,56,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many shapes is the purple ship?"
14,56,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Is the blue ship horiztonal or vertical?"
16,56,"horizontal(red)","horizontal","2",2,NA,NA,"Is the red ship horizontal?","Is the red ship vertical or horizontal?"
17,56,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many shapes is the purple ship?"
18,56,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Is the purple ship vertical or horizontal?"
1,57,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","how many blue blocks are there?"
2,57,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","what direction are the purple blocks going"
3,57,"topleft(red)","topleft","2",2,NA,NA,"At what location is the top left part of the red ship?","where is the first red block."
4,57,"topleft(purple)","topleft","3",3,NA,NA,"At what location is the top left part of the purple ship?","where is the first purple square"
7,57,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","how many red blocks are there?"
8,57,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","how many red blocks are there?"
9,57,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","how many purple squares are there?"
16,57,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","how many red blocks are there?"
17,57,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","how many red blocks are there?"
18,57,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","how many purple squares are there?"
1,58,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","How many tiles for the blue ship ?"
2,58,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many tiles for the purple ship ?"
3,58,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many tiles for the purple ship ?"
4,58,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many tiles in the purple ship ?"
5,58,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","The red ship is how many tiles ?"
6,58,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many tiles in the red ship ?"
7,58,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many tiles in the red ship ?"
8,58,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","The red ship is how many tiles ?"
9,58,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","How many tiles in the blue ship ?"
10,58,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","How many tiles in the blue ship ?"
11,58,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many tiles in the red ship ?"
12,58,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many tiles in the red ship ?"
13,58,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many tiles in the purple ship ?"
14,58,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many tiles in the red ship ?"
15,58,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many tiles in the red ship ?"
16,58,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many tiles in the red ship ?"
17,58,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many tiles in the purple ship ?"
18,58,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many tiles in the purple ship ?"
1,59,"topleft(red)","topleft","2",2,NA,NA,"At what location is the top left part of the red ship?","What is the coordinate of the first tile of the red ship?"
2,59,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many tiles does the purple ship have?"
3,59,"topleft(red)","topleft","2",2,NA,NA,"At what location is the top left part of the red ship?","Where is the coordinate of the first tile of the red ship?"
4,59,"topleft(purple)","topleft","3",3,NA,NA,"At what location is the top left part of the purple ship?","What is the coordinates of the first tile of the purple ship?"
5,59,"topleft(red)","topleft","2",2,NA,NA,"At what location is the top left part of the red ship?","What's the coordinate of the first tile of the red ship?"
6,59,"topleft(red)","topleft","2",2,NA,NA,"At what location is the top left part of the red ship?","What's the coordinate of the first tile of the red ship?"
7,59,"horizontal(red)","horizontal","2",2,NA,NA,"Is the red ship horizontal?","Is the red ship horizontal or vertical?"
8,59,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many tiles does the red ship have?"
9,59,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Is the blue ship horizontal?"
10,59,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many tiles does the red ship have?"
12,59,"topleft(red)","topleft","2",2,NA,NA,"At what location is the top left part of the red ship?","What's the coordinate of the first tile of the red ship located?"
13,59,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Is the blue ship vertically placed on the grid?"
14,59,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Is the blue ship placed horizontal on the grid?"
15,59,"topleft(red)","topleft","2",2,NA,NA,"At what location is the top left part of the red ship?","What's the coordinate of the first tile of the red ship?"
16,59,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Is the purple ship placed vertical on the grid?"
17,59,"parallel(red,purple)","parallel","2,3",2,3,NA,"Are the red ship and the purple ship parallel?","Are the red and purple ships parallel to each other?"
18,59,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Is the purple ship vertical or horizontal?"
1,60,"shipsizeD(red,3)","shipsizeD","2,3",2,3,NA,"Is the red ship 3 tiles long?","Is the red ship 3 tiles long?"
2,60,"shipsizeD(blue,3)","shipsizeD","1,3",1,3,NA,"Is the blue ship 3 tiles long?","Is the blue ship 3 tiles long?"
3,60,"shipsizeD(purple,3)","shipsizeD","3,3",3,3,NA,"Is the purple ship 3 tiles long?","Is the purple ship 3 tiles long?"
4,60,"horizontal(red)","horizontal","2",2,NA,NA,"Is the red ship horizontal?","Is the red ship vertical? "
5,60,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Is the blue ship vertical?"
6,60,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Is the purple ship vertical?"
7,60,"locationD(2,c,red)","locationD","2,3,2",2,3,2,"Is there a red tile at 2C?","Is the red ship in cordinate c 2?"
8,60,"locationD(5,e,blue)","locationD","5,5,1",5,5,1,"Is there a blue tile at 5E?","Is the blue ship in cordinate e 5"
9,60,"locationD(4,e,purple)","locationD","4,5,3",4,5,3,"Is there a purple tile at 4E?","Is the purple ship in cordinate e 4"
2,61,"colDL(c,purple)","colDL","3,3",3,3,NA,"Are all parts of the purple ship in column C?","Is the purple ship only in column C?"
3,61,"touchingXA(blue)","touchingXA","1",1,NA,NA,"Does the blue ship touch any other ship?","Does another ship touch the blue ship?"
4,61,"parallel(blue,red)","parallel","1,2",1,2,NA,"Are the blue ship and the red ship parallel?","Is the blue ship parallel to the orange ship?"
5,61,"touching(blue,red)","touching","1,2",1,2,NA,"Do the blue ship and the red ship touch?","Does the orange ship touch the blue ship?"
6,61,"touching(blue,red)","touching","1,2",1,2,NA,"Do the blue ship and the red ship touch?","Does the orange ship touch the blue ship?"
7,61,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Does the purple ship go upwards?"
8,61,"colDL(e,blue)","colDL","5,1",5,1,NA,"Are all parts of the blue ship in column E?","Is the blue ship only in column E?"
9,61,"bottomright(purple)","bottomright","3",3,NA,NA,"At what location is the bottom right part of the purple ship?","What number does the purple ship end on?"
10,61,"row(1)","row","1",1,NA,NA,"Is there any ship in row 1?","Are any ships in Row 1?"
11,61,"touchingXA(blue)","touchingXA","1",1,NA,NA,"Does the blue ship touch any other ship?","Does the blue ship touch another ship?"
12,61,"col(a)","col","1",1,NA,NA,"Is there any ship in column A?","IS there a ship in Column A?"
15,61,"touchingXA(red)","touchingXA","2",2,NA,NA,"Does the red ship touch any other ship?","Is the orange ship touching another ship?"
16,61,"touching(red,purple)","touching","2,3",2,3,NA,"Do the red ship and the purple ship touch?","Does the orange ship touch the purple ship?"
17,61,"shipsizeD(blue,4)","shipsizeD","1,4",1,4,NA,"Is the blue ship 4 tiles long?","Is the blue ship four long?"
1,62,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","How many tiles is the blue ship?"
2,62,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","how many tiles does the purple ship have?"
3,62,"shipsizeDA(4)","shipsizeDA","4",4,NA,NA,"Are any ships 4 tiles long?","does any ship have 4 tiles?"
4,62,"shipsizeD(blue,3)","shipsizeD","1,3",1,3,NA,"Is the blue ship 3 tiles long?","does the blue ship have 3 tiles?"
5,62,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","how many tiles does the purple ship have?"
6,62,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","how many tiles does the red ship have?"
7,62,"shipsizeDA(4)","shipsizeDA","4",4,NA,NA,"Are any ships 4 tiles long?","does any ship have 4 tiles?"
8,62,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","does the blue ship go vertical or horizontal?"
9,62,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","how many tiles does blue ship have?"
10,62,"shipsizeDA(4)","shipsizeDA","4",4,NA,NA,"Are any ships 4 tiles long?","does any ship have 4 tiles?"
11,62,"shipsizeD(blue,3)","shipsizeD","1,3",1,3,NA,"Is the blue ship 3 tiles long?","does the blue ship have 3 tiles?"
12,62,"shipsizeD(blue,4)","shipsizeD","1,4",1,4,NA,"Is the blue ship 4 tiles long?","does the blue ship have 4 tiles?"
13,62,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","how many tiles does the purple ship have?"
14,62,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","how many tiles does the red ship have?"
15,62,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","how many tiles does the red ship have?"
16,62,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","how many tiles does the blue ship have?"
17,62,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many tiles does the red ship have?"
18,62,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","how many tiles does the purple ship have?"
1,63,"locationD(1,a,red)","locationD","1,1,2",1,1,2,"Is there a red tile at 1A?","is the  square at A1 red?"
2,63,"shipsizeD(purple,3)","shipsizeD","3,3",3,3,NA,"Is the purple ship 3 tiles long?","is the purple item 3 tiles long?"
3,63,"locationA(1,f)","locationA","1,6",1,6,NA,"Is there a ship at 1F?","is there a ship at F1?"
4,63,"shipsizeD(blue,2)","shipsizeD","1,2",1,2,NA,"Is the blue ship 2 tiles long?","is the blue item 2 tiles long?"
5,63,"shipsizeD(purple,4)","shipsizeD","3,4",3,4,NA,"Is the purple ship 4 tiles long?","is the purple item 4 tiles long?"
6,63,"shipsizeD(purple,3)","shipsizeD","3,3",3,3,NA,"Is the purple ship 3 tiles long?","is the purple item 3 tiles long?"
7,63,"shipsizeD(red,2)","shipsizeD","2,2",2,2,NA,"Is the red ship 2 tiles long?","is the red item 2 tiles long?"
8,63,"shipsizeD(purple,3)","shipsizeD","3,3",3,3,NA,"Is the purple ship 3 tiles long?","is the purple item 3 tiles long?"
9,63,"shipsizeD(purple,4)","shipsizeD","3,4",3,4,NA,"Is the purple ship 4 tiles long?","is the purple item 4 tiles long?"
10,63,"locationA(1,f)","locationA","1,6",1,6,NA,"Is there a ship at 1F?","is there an item at F1?"
11,63,"shipsizeD(blue,2)","shipsizeD","1,2",1,2,NA,"Is the blue ship 2 tiles long?","is the blue item 2 tiles long?"
12,63,"locationA(1,a)","locationA","1,1",1,1,NA,"Is there a ship at 1A?","is A1 tile empty?"
13,63,"shipsizeD(blue,3)","shipsizeD","1,3",1,3,NA,"Is the blue ship 3 tiles long?","is the blue item 3 tiles long?"
14,63,"shipsizeD(blue,3)","shipsizeD","1,3",1,3,NA,"Is the blue ship 3 tiles long?","is the blue item 3 tiles long?"
15,63,"locationA(6,a)","locationA","6,1",6,1,NA,"Is there a ship at 6A?","is there an item at A6 tile?"
16,63,"shipsizeM(red,3)","shipsizeM","2,3",2,3,NA,"Is the red ship 3 or more tiles long?","is the red item longer than 2 tiles?"
17,63,"shipsizeM(blue,3)","shipsizeM","1,3",1,3,NA,"Is the blue ship 3 or more tiles long?","is the blue item longer than 2 tiles?"
18,63,"shipsizeM(purple,3)","shipsizeM","3,3",3,3,NA,"Is the purple ship 3 or more tiles long?","is the purple item longer than 2 tiles?"
1,64,"locationA(4,b)","locationA","4,2",4,2,NA,"Is there a ship at 4B?","Is a ship at B4?"
2,64,"locationD(6,c,purple)","locationD","6,3,3",6,3,3,"Is there a purple tile at 6C?","Does the  purple ship continue on to C6?"
3,64,"locationD(3,a,purple)","locationD","3,1,3",3,1,3,"Is there a purple tile at 3A?","Is part of the purple ship on A3?"
4,64,"locationD(6,b,blue)","locationD","6,2,1",6,2,1,"Is there a blue tile at 6B?","Does B6 hold part of the blue ship?"
5,64,"locationD(1,d,purple)","locationD","1,4,3",1,4,3,"Is there a purple tile at 1D?","Does tile D1 hold part of the purple ship?"
6,64,"locationD(6,d,red)","locationD","6,4,2",6,4,2,"Is there a red tile at 6D?","Does tile D6 hold a part of the red ship?"
7,64,"locationD(6,b,blue)","locationD","6,2,1",6,2,1,"Is there a blue tile at 6B?","Does tile B6 hold a part of the blue ship?"
8,64,"locationD(4,c,red)","locationD","4,3,2",4,3,2,"Is there a red tile at 4C?","Does the red ship extend to tile C4?"
9,64,"locationA(4,a)","locationA","4,1",4,1,NA,"Is there a ship at 4A?","Does tile A4 hold a part of a ship?"
10,64,"locationA(5,a)","locationA","5,1",5,1,NA,"Is there a ship at 5A?","Does tile A5 hold a part of the any a ship?"
11,64,"locationA(4,e)","locationA","4,5",4,5,NA,"Is there a ship at 4E?","Is there part of a ship on tile E4?"
12,64,"locationA(4,f)","locationA","4,6",4,6,NA,"Is there a ship at 4F?","Is part of a ship on tile F4?"
13,64,"locationA(2,a)","locationA","2,1",2,1,NA,"Is there a ship at 2A?","Is part of any ship on tile A2?"
14,64,"locationD(4,f,red)","locationD","4,6,2",4,6,2,"Is there a red tile at 4F?","Is part of the red ship on tile F4?"
15,64,"locationD(2,b,red)","locationD","2,2,2",2,2,2,"Is there a red tile at 2B?","Is part of the red ship on tile B2?"
16,64,"locationA(2,b)","locationA","2,2",2,2,NA,"Is there a ship at 2B?","Is part of any of the ships on tile B2?"
17,64,"locationD(3,d,red)","locationD","3,4,2",3,4,2,"Is there a red tile at 3D?","Is part of the red ship on tile D3?"
18,64,"locationD(2,c,purple)","locationD","2,3,3",2,3,3,"Is there a purple tile at 2C?","Does part of the purple ship extend to tile C2?"
1,65,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","How long is the blue ship"
2,65,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Is the purple ship horizontal?"
3,65,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How long is the red ship?"
4,65,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How long is the purple ship?"
5,65,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How long is the red ship?"
6,65,"horizontal(red)","horizontal","2",2,NA,NA,"Is the red ship horizontal?","How the red ship vertical?"
7,65,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How long is the red ship?"
8,65,"horizontal(red)","horizontal","2",2,NA,NA,"Is the red ship horizontal?","Is the red ship vertical?"
9,65,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","How long is the blue ship?"
10,65,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How long is the red ship?"
11,65,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How long is the red ship?"
12,65,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How long is the red ship?"
13,65,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How long is the purple ship?"
14,65,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How long is the red ship?"
15,65,"horizontal(red)","horizontal","2",2,NA,NA,"Is the red ship horizontal?","Is the red ship vertical?"
16,65,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","How long is the blue ship?"
17,65,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How long is the red ship?"
18,65,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Is the purple ship vertical?"
2,66,"verticalL()","verticalL","",NA,NA,NA,"Are all ships vertical?","are all the ship in a vertical position "
3,66,"shipsizeDL(3)","shipsizeDL","3",3,NA,NA,"Are all ships 3 tiles long?","are all the ships 3 tiles"
6,66,"shipsizeD(red,3)","shipsizeD","2,3",2,3,NA,"Is the red ship 3 tiles long?","is the orange ship 3 tiles"
7,66,"verticalL()","verticalL","",NA,NA,NA,"Are all ships vertical?","are the ships all vertical"
8,66,"shipsizeD(red,2)","shipsizeD","2,2",2,2,NA,"Is the red ship 2 tiles long?","is the orange ship 2 tiles"
9,66,"shipsizeDA(4)","shipsizeDA","4",4,NA,NA,"Are any ships 4 tiles long?","Are any ships 4 tiles"
12,66,"shipsizeDA(2)","shipsizeDA","2",2,NA,NA,"Are any ships 2 tiles long?","are there any ships with 2 tiles"
14,66,"shipsizeD(red,4)","shipsizeD","2,4",2,4,NA,"Is the red ship 4 tiles long?","is the orange ship 4 tiles"
15,66,"shipsizeD(red,3)","shipsizeD","2,3",2,3,NA,"Is the red ship 3 tiles long?","is the orange ship 3 tiles"
16,66,"shipsizeDL(3)","shipsizeDL","3",3,NA,NA,"Are all ships 3 tiles long?","are all the ships 2 tiles"
17,66,"shipsizeDA(4)","shipsizeDA","4",4,NA,NA,"Are any ships 4 tiles long?","are there any ships with 4 tiles"
18,66,"shipsizeD(purple,3)","shipsizeD","3,3",3,3,NA,"Is the purple ship 3 tiles long?","is the purple ship 3 tiles"
1,67,"rowD(1,blue)","rowD","1,1",1,1,NA,"Is there any part of the blue ship in row 1?","Is any part of the blue ship in the 1st row?"
3,67,"colD(a,red)","colD","1,2",1,2,NA,"Is there any part of the red ship in column A?","Is any part of the red ship in column A?"
4,67,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","How big is the blue ship?"
5,67,"col(f)","col","6",6,NA,NA,"Is there any ship in column F?","Are there any ships in the F column? "
6,67,"rowD(5,red)","rowD","5,2",5,2,NA,"Is there any part of the red ship in row 5?","Are there any red blocks in Row 5?"
7,67,"locationD(5,e,blue)","locationD","5,5,1",5,5,1,"Is there a blue tile at 5E?","Is there a blue block in E5?"
8,67,"locationA(5,e)","locationA","5,5",5,5,NA,"Is there a ship at 5E?","Is there a ship piece in E5?"
9,67,"locationA(4,a)","locationA","4,1",4,1,NA,"Is there a ship at 4A?","Is there a colored block in A4?"
10,67,"col(a)","col","1",1,NA,NA,"Is there any ship in column A?","Are there any colored blocks in the A column?"
11,67,"col(a)","col","1",1,NA,NA,"Is there any ship in column A?","Is there a colored ships in the A column?"
12,67,"row(1)","row","1",1,NA,NA,"Is there any ship in row 1?","Does the 1st row contain any ship pieces?"
13,67,"rowD(6,purple)","rowD","6,3",6,3,NA,"Is there any part of the purple ship in row 6?","Does the 6th row contain any pieces of the purple ship?"
14,67,"colD(f,red)","colD","6,2",6,2,NA,"Is there any part of the red ship in column F?","Are there any pieces of the red ship in Column F?"
16,67,"shipsizeX1(blue,red)","shipsizeX1","1,2",1,2,NA,"Do the blue ship and the red ship have the same size?","Does the red and blue ships have the same number of pieces?"
17,67,"parallel(red,purple)","parallel","2,3",2,3,NA,"Are the red ship and the purple ship parallel?","Does the red and purple ships run parallel to one another?"
18,67,"colD(b,purple)","colD","2,3",2,3,NA,"Is there any part of the purple ship in column B?","Is there a piece of the purple ship in the B column?"
1,68,"shipsizeD(blue,3)","shipsizeD","1,3",1,3,NA,"Is the blue ship 3 tiles long?","Is blue ship 3 tiles long?"
2,68,"shipsizeD(purple,2)","shipsizeD","3,2",3,2,NA,"Is the purple ship 2 tiles long?","Is purple ship 2 tiles long?"
3,68,"shipsizeD(red,4)","shipsizeD","2,4",2,4,NA,"Is the red ship 4 tiles long?","Is orange ship 4 tiles long?"
5,68,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Is purple ship horizontal?"
6,68,"touching(blue,red)","touching","1,2",1,2,NA,"Do the blue ship and the red ship touch?","Is orange ship located next to blue ship?"
7,68,"shipsizeD(blue,4)","shipsizeD","1,4",1,4,NA,"Is the blue ship 4 tiles long?","Is blue ship 4 tiles long?"
8,68,"shipsizeD(purple,4)","shipsizeD","3,4",3,4,NA,"Is the purple ship 4 tiles long?","Is purple ship 4 tiles long?"
9,68,"shipsizeD(blue,4)","shipsizeD","1,4",1,4,NA,"Is the blue ship 4 tiles long?","Is blue ship 4 tiles long?"
11,68,"shipsizeD(blue,2)","shipsizeD","1,2",1,2,NA,"Is the blue ship 2 tiles long?","Is blue ship 2 tiles long?"
12,68,"shipsizeD(blue,4)","shipsizeD","1,4",1,4,NA,"Is the blue ship 4 tiles long?","Is blue ship 4 tiles long?"
13,68,"shipsizeD(blue,4)","shipsizeD","1,4",1,4,NA,"Is the blue ship 4 tiles long?","Is blue ship 4 tiles long?"
14,68,"shipsizeD(red,4)","shipsizeD","2,4",2,4,NA,"Is the red ship 4 tiles long?","Is orange ship 4 tiles long?"
15,68,"shipsizeD(red,2)","shipsizeD","2,2",2,2,NA,"Is the red ship 2 tiles long?","Is orange ship 2 tiles long?"
